Kid Niki, Radical Ninja(tm) Game	NIKI	Kid Niki - Radical Ninja	Kid Niki - Radical Ninja
King's Knight(tm) Game	KING	King's Knight	King's Knight
Kirby's Adventure(tm) Game	KIRB	Kirby's Adventure	Kirby's Adventure
Kiwi Kraze(tm) Game	KIWI	Kiwi Kraze - A Bird-Brained Adventure!	Kiwi Kraze - A Bird-Brained Adventure!
KlashBall(tm) Game		Klash Ball	Klash Ball
Klax(tm) Game	KLAX	Klax	Klax
Knight Rider(tm) Game	RIDE	Knight Rider	Knight Rider
Krusty's Fun House(tm) Game	FUN	Krusty's Fun House	Krusty's Fun House
Kung Fu Heroes(tm) Game	HERO	Kung-Fu Heroes	Kung-Fu Heroes
Kung Fu(tm) Game	KUNG	Kung Fu	Kung Fu
Last Action Hero(tm) Game	LAST 	Last Action Hero	Last Action Hero
Legacy of the Wizard(tm) Game	WIZ	Legacy of the Wizard	Legacy of the Wizard
Legendary Wings(tm) Game	WING	Legendary Wings	Legendary Wings
Legends of the Diamond(tm) Game	BASE	Legends of the Diamond - The Baseball Championship Game	Legends of the Diamond - The Baseball Championship Game
Lemmings(tm) Game	LEM	Lemmings	Lemmings
Lethal Weapon(tm) Game	LETH	Lethal Weapon	Lethal Weapon
Life Force(tm) Game	LIFE	Life Force	Life Force
Little Nemo: The Dream Master(tm) Game	NEMO	Little Nemo - The Dream Master	Little Nemo - The Dream Master
Little Samson(tm) Game	SAM	Little Samson	Little Samson
Lode Runner(tm) Game	LODE	Lode Runner	Lode Runner
Low G Man(tm) Game	LOW	Low G Man - The Low Gravity Man	Low G Man - The Low Gravity Man
M.C. Kids(tm) Game	KIDS	M.C Kids	M.C Kids
M.U.L.E.(tm) Game	MULE	M.U.L.E.	M.U.L.E.
M.U.S.C.L.E.(tm) Game	MUSC	M.U.S.C.L.E.	M.U.S.C.L.E.
MIG 29 Soviet Fighter(tm) Game	MIG	MiG 29 - Soviet Fighter	MiG 29 - Soviet Fighter
Mad Max(tm) Game	MAX	Mad Max	Mad Max
MagMax(tm) Game	MAX	Magmax	Magmax
Mappy Land(tm) Game	MAP	Mappy-Land	Mappy-Land
Marble Madness(tm) Game	MAD	Marble Madness	Marble Madness
Mario Bros.(tm) Game	BROS	Mario Bros.	Mario Bros.
Mechanized Attack(tm) Game	MEC	Mechanized Attack	Mechanized Attack
Mega Man 6(tm) Game	MM6	Megaman VI	Megaman VI
MegaMan 2(tm) Game	MEGA	Megaman II	Megaman II
MegaMan 3(tm) Game	MEGA	Megaman III	Megaman III
