1942(tm) Game	'42	1942
MegaMan 5(tm) Game	MEG5	Megaman V
MegaMan(tm) Game	MEGA	Megaman
Mendel Palace(tm) Game	MEND	Mendel Palace
Metal Gear(tm) Game	GEAR	Metal Gear
Metal Mech(tm) Game	MECH	Metal Mech - Man & Machine
Metal Storm(tm) Game	MET	Metal Storm
Metroid(tm) Game	MET	Metroid
Mickey Mousecapade(tm) Game	MICK	Mickey Mousecapade
Micro Machines(tm) The Official Video Game	MICRO	Micro Machines
Mighty Bomb Jack(tm) Game	JACK	Mighty Bomb Jack
Mighty Final Fight(tm) Game	MFF	Mighty Final Fight
Millipede(tm) Game	PEDE	Millipede
Milon's Secret Castle(tm) Game	MIL	Milon's Secret Castle
Mission: Impossible(tm) Game	MISS	Mission - Impossible
Monopoly(tm) Game	MONO	Monopoly
Monster Party (tm) Game	PART	Monster Party
Motor City Patrol(tm) Game	CITY	Motor City Patrol
Ms. Pac-Man(tm) Game	MS	Ms. Pac-Man
Mystery Quest(tm) Game	MYST	Mystery Quest
NES Play Action Football(tm) Game	PLAY	NES Play Action Football
Narc(tm) Game	NARC	NARC
Nigel Mansell's World Championship Racing(tm) Game	NIGE	Nigel Mansell's World Championship Challenge
Ninja Crusaders(tm) Game	NINJA	Ninja Crusaders
Ninja Gaiden II(tm) Game	GAID	Ninja Gaiden II - The Dark Sword of Chaos
Ninja Gaiden III The Ancient Ship of Doom(tm) Game	GAI3	Ninja Gaiden III - The Ancient Ship of Doom
Ninja Gaiden(tm) Game	NINJ	Ninja Gaiden
Ninja Kid(tm) Game	KID	Ninja Kid
North & South (tm) Game	NORTH	North & South
Operation Wolf(tm) Game	OP	Operation Wolf
P.O.W.(tm) Game	POW	P.O.W. - Prisoners of War
Pac Man(tm) Game	PAC	Pac-Man
Panic Restaurant(tm) Game	PANIC	Panic Restaurant
Paper Boy(tm) Game	BOY	Paperboy
Paperboy 2(tm) Game	PAPER	Paperboy 2
Phantom Fighter(tm) Game	PHAN	Phantom Fighter
Pin-Bot(tm) Game	BOT	Pin Bot
Pinball Game	PIN	Pinball
Pipe Dream(tm) Game	PIPE	Pipe Dream
Platoon(tm) Game	PLAT	Platoon
Popeye(tm) Game	POP	Popeye
Power Blade 2 (tm) Game	BLADE	Power Blade 2
Power Blade(tm) Game	POWB	Power Blade
Predator(tm) Game	PRED	Predator
Pro Sport Hockey (tm) Game	PRO	Pro Sport Hockey
Pro Wrestling(tm) Game	PRO	Pro Wrestling
Pugsley's Scavenger Hunt (tm) Game	PUGS	Addams Family, The - Pugsley's Scavenger Hunt
Puss 'n Boots--Pero's Great Adventure(tm) Game	BOOT	Puss 'n Boots - Pero's Great Adventure
Puzznic(tm) Game	PUZZ	Puzznic
Q*Bert(tm) Game	BERT	Q-bert
Qix(tm) Game	QIX	Qix
Quattro Adventure(tm) Game	BOOM/LINU//ROB/TREAS	Quattro Adventure
Quattro Arcade(tm) Game	GODIZ/BUGG/F-16/C.J.	Quattro Arcade
