1942(tm) Game	1942
Slalom(tm) Game	Slalom
Snake's Revenge(tm) Game	Snake's Revenge
Snake, Rattle 'N' Roll(tm) Game	Snake Rattle N Roll
Snow Brothers(tm) Game	Snow Brothers
Soccer Game	Soccer
Solar Jetman(tm) Game	Solar Jetman - Hunt for the Golden Warpship
Solomon's Key(tm) Game	Solomon's Key
Solstice(tm) Game	Solstice - The Quest for the Staff of Demnos
Spelunker(tm) Game	Spelunker
Spy Hunter(tm) Game	Spy Hunter
Spy vs Spy(tm) Game	Spy Vs Spy
Squoon (tm) Game	Sqoon
Star Soldier(tm) Game	Star Soldier
Star Trek 25th Anniversary (tm) Game	Star Trek - 25th Anniversary
Star Trek: The Next Generation(tm) Game	Star Trek - The Next Generation
Star Voyager(tm) Game	Star Voyager
Star Wars(tm) Game	UNKNOWN
StarTropics(tm) Game	Startropics
Starforce(tm) Game	Star Force
Starship Hector(tm) Game	Starship Hector
Stealth ATF(tm) Game	Stealth ATF
Stinger(tm) Game	Stinger
Street Cop(tm) Game	Street Cop
Street Fighter 2010: The Final Fight(tm) Game	Street Fighter 2010 - The Final Fight
Strider(tm) Game	Strider
Stunt Kids(tm) Game	Stunt Kids
Super Bowl(tm) Game	UNKNOWN
Super C(tm) Game	Super C
Super Mario Bros.(tm) 2 Game	Super Mario Bros. 2 (U)
Super Mario Bros.(tm) 3 Game	Super Mario Bros. 3
Super Mario Bros.(tm) Game	Super Mario Bros.
Super Pitfall(tm) Game	Super Pitfall
Super Sprint(tm) Game	Super Sprint
Superman(tm) Game	Superman
Swords & Serpents(tm) Game	Swords and Serpents
T & C Surf Designs(tm) Game	T&C Surf Design
T2(tm) Terminator(tm) 2: Judgment Day(tm) Game	Terminator 2 - Judgment Day
Tale Spin(tm) Game	TaleSpin
Target: Renegade(tm) Game	Target - Renegade
Tecmo Bowl(tm) Game	Tecmo Bowl
Tecmo(tm) NBA(tm) Basketball Game	Tecmo NBA Basketball
Teenage Mutant Ninja Turtles III-The Manhattan Project(tm)	Teenage Mutant Ninja Turtles III - The Manhattan Project
Teenage Mutant Ninja Turtles(tm) Game	Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles(tm) II: The Arcade Game(tm)	Teenage Mutant Ninja Turtles II - The Arcade Game
Terra Cresta(tm) Game	Terra Cresta
Tetris 2(tm) Game	Tetris 2
Tetris(tm) Game	Tetris
The Adventures of Bayou Billy(tm) Game	Adventures of Bayou Billy, The
The Adventures of Rocky and Bullwinkle and Friends(tm) Game	Adventures of Rocky and Bullwinkle and Friends, The
The Bugs Bunny(tm) Birthday Blow Out(tm) Game	Bugs Bunny Birthday Blowout, The
The Empire Strikes Back(tm) Game	UNKNOWN
The Fantastic Adventures of Dizzy(tm) Game	Fantastic Adventures of Dizzy, The
The Flintstones--The Surprise at Dinosaur Peak(tm) Game	Flintstones, The - The Surprise at Dinosaur Peak!
The Flintstones: The Rescue of Dino and Hoppy(tm) Game	Flintstones, The - The Rescue of Dino & Hoppy
The Great Waldo Search(tm) Game	Great Waldo Search, The
The Guardian Legend(tm) Game	Guardian Legend, The
The Hunt for Red October(tm) Game	Hunt for Red October, The
The Immortal(tm) Game	Immortal, The
The Jetsons: Cogswell's Caper (tm) Game	Jetsons, The - Cogswell's Caper!
The Karate Kid(tm) Game	Karate Kid, The
The Krion Conquest(tm) Game	Krion Conquest, The
The Last Starfighter(tm) Game	Last Starfighter, The
The Legend of Kage(tm) Game	Legend of Kage, The
The Legend of Zelda(tm) Game	Legend of Zelda, The
The Little Mermaid(tm) Game	Little Mermaid, The
The Lone Ranger(tm) Game	Lone Ranger, The
The Magic of Scheherazade(tm) Game	Magic of Scheherazade, The
The Punisher(tm) Game	Punisher, The
The Ren & Stimpy Show Buckeroos (tm) Game	Ren & Stimpy Show, The
The Simpsons(tm): Bart Vs. The World(tm)	Simpsons, The - Bart Vs. the World
The Simpsons(tm): Bart(tm) vs. The Space Mutants Game	Simpsons, The - Bart Vs. the Space Mutants
The Simpsons: Bartman Meets Radioactive Man(tm) Game	Simpsons, The - Bartman Meets Radioactive Man
The Untouchables(tm) Game	Untouchables, The
The Young Indiana Jones Chronicles(tm) Game	Young Indiana Jones Chronicles, The
Thunderbirds(tm) Game	Thunderbirds
Thundercade(tm) Game	Thundercade
Tiger Heli(tm) Game	Tiger-Heli
Time Lord(tm) Game	Time Lord
Tiny Toon Adventures 2(tm) Game	Tiny Toon Adventures 2 - Trouble in Wackyland
Tiny Toon Adventures(tm) Game	Tiny Toon Adventures
To The Earth(tm) Game	To The Earth
Tom and Jerry(tm) Game	UNKNOWN
Toobin'(tm) Game	Toobin'
Top Gun(tm) (The Second Mission) Game	Top Gun - The Second Mission
Top Gun(tm) Game	Top Gun
Total Recall(tm) Game	Total Recall
Totally Rad(tm) Game	Totally Rad
Trojan(tm) Game	Trojan
