Simpsons: Bart Vs. The World Game, The                                           7
Simpsons: Bartman Meets Radioactive Man Game, The                                15
Skate or Die 2 Game                                                              13
Ski or Die Game                                                                  8
Skull & Crossbones Game                                                          10
Sky Kid Game                                                                     10
Sky Shark Game                                                                   13
Slalom Game                                                                      3
Smash T.V. Game                                                                  4
Snake's Revenge Game                                                             14
Snake, Rattle 'N' Roll Game                                                      18
Snow Brothers Game                                                               10
Soccer Game                                                                      4
Solar Jetman Game                                                                20
Solomon's Key Game                                                               10
Solstice Game                                                                    9
Spelunker Game                                                                   6
Spy Hunter Game                                                                  8
Spy vs Spy Game                                                                  6
Squoon Game                                                                      10
Star Soldier Game                                                                4
Star Trek 25th Anniversary Game                                                  14
Star Trek: The Next Generation Game                                              13
StarTropics Game                                                                 13
Zoda's Revenge: Star Tropics II Game                                             12
Star Voyager Game                                                                7
Star Wars Game                                                                   10
Empire Strikes Back Game, The                                                    13
Starforce Game                                                                   5
Starship Hector Game                                                             10
Stealth ATF Game                                                                 5
Stinger Game                                                                     17
Street Cop Game                                                                  10
Street Fighter 2010: The Final Fight Game                                        9
Strider Game                                                                     5
Stunt Kids Game                                                                  11
Super Bowl Game                                                                  37
Super C Game                                                                     14
Super Mario Bros. Game                                                           22
Super Mario Bros. 2 Game                                                         33
Super Mario Bros. 3 Game                                                         37
Ivan "Ironman" Stewart's Super Off-Road Game                                     7
Super Pitfall Game                                                               11
Super Sprint Game                                                                6
Superman Game                                                                    10
Swords & Serpents Game                                                           11
T & C Surf 2: Thrilla's Safari Game                                              20
T2 Terminator 2: Judgment Day Game                                               9
Tale Spin Game                                                                   13
Target: Renegade Game                                                            12
Tecmo Bowl Game                                                                  3
Tecmo NBA Basketball Game                                                        11
Tecmo World Cup Game                                                             2
Teenage Mutant Ninja Turtles Game                                                8
Teenage Mutant Ninja Turtles II: The Arcade Game Game                            10
Teenage Mutant Ninja Turtles III-The Manhattan Project Game                      12
Teenage Mutant Ninja Turtles: Tournament Fighters Game                           7
Terra Cresta Game                                                                8
Tetris Game                                                                      5
Tetris 2 Game                                                                    13
Thunderbirds Game                                                                9
Thundercade Game                                                                 9
Tiger Heli Game                                                                  14
Time Lord Game                                                                   6
Tiny Toon Adventures Game                                                        15
Tiny Toon Adventures 2 Game                                                      20
To The Earth Game                                                                9
Toki Game                                                                        18
Tom and Jerry Game                                                               10
Toobin' Game                                                                     13
Top Gun Game                                                                     10
Top Gun (The Second Mission) Game                                                8
Total Recall Game                                                                6
Totally Rad Game                                                                 10
Trojan Game                                                                      11
Twin Cobra Game                                                                  17
Twin Eagle Game                                                                  11
Ultima Exodus Game                                                               11
